num-tests,invalid_format_count,syntax_err_count,uninitialised_vars_count,invalid_test_count
[112](https://github.com/PyCraftTool/PyCraft/blob/main/data/paper/RQ2/palm/dict-setdefault/good-tests.json),[5](https://github.com/PyCraftTool/PyCraft/blob/main/data/paper/RQ2/palm/dict-setdefault/invalid-format-tests.json),[1](https://github.com/PyCraftTool/PyCraft/blob/main/data/paper/RQ2/palm/dict-setdefault/syntax-error-tests.json),[0](https://github.com/PyCraftTool/PyCraft/blob/main/data/paper/RQ2/palm/dict-setdefault/uninitialised-vars-tests.json),[118](https://github.com/PyCraftTool/PyCraft/blob/main/data/paper/RQ2/palm/dict-setdefault/invalid-tests.json)
[127](https://github.com/PyCraftTool/PyCraft/blob/main/data/paper/RQ2/palm/dict-setdefault/good-tests.json),[13](https://github.com/PyCraftTool/PyCraft/blob/main/data/paper/RQ2/palm/dict-setdefault/invalid-format-tests.json),[0](https://github.com/PyCraftTool/PyCraft/blob/main/data/paper/RQ2/palm/dict-setdefault/syntax-error-tests.json),[1](https://github.com/PyCraftTool/PyCraft/blob/main/data/paper/RQ2/palm/dict-setdefault/uninitialised-vars-tests.json),[73](https://github.com/PyCraftTool/PyCraft/blob/main/data/paper/RQ2/palm/dict-setdefault/invalid-tests.json)
[59](https://github.com/PyCraftTool/PyCraft/blob/main/data/paper/RQ2/palm/dict-setdefault/good-tests.json),[20](https://github.com/PyCraftTool/PyCraft/blob/main/data/paper/RQ2/palm/dict-setdefault/invalid-format-tests.json),[0](https://github.com/PyCraftTool/PyCraft/blob/main/data/paper/RQ2/palm/dict-setdefault/syntax-error-tests.json),[2](https://github.com/PyCraftTool/PyCraft/blob/main/data/paper/RQ2/palm/dict-setdefault/uninitialised-vars-tests.json),[46](https://github.com/PyCraftTool/PyCraft/blob/main/data/paper/RQ2/palm/dict-setdefault/invalid-tests.json)
[61](https://github.com/PyCraftTool/PyCraft/blob/main/data/paper/RQ2/palm/dict-setdefault/good-tests.json),[13](https://github.com/PyCraftTool/PyCraft/blob/main/data/paper/RQ2/palm/dict-setdefault/invalid-format-tests.json),[0](https://github.com/PyCraftTool/PyCraft/blob/main/data/paper/RQ2/palm/dict-setdefault/syntax-error-tests.json),[0](https://github.com/PyCraftTool/PyCraft/blob/main/data/paper/RQ2/palm/dict-setdefault/uninitialised-vars-tests.json),[11](https://github.com/PyCraftTool/PyCraft/blob/main/data/paper/RQ2/palm/dict-setdefault/invalid-tests.json)
[64](https://github.com/PyCraftTool/PyCraft/blob/main/data/paper/RQ2/palm/dict-setdefault/good-tests.json),[15](https://github.com/PyCraftTool/PyCraft/blob/main/data/paper/RQ2/palm/dict-setdefault/invalid-format-tests.json),[20](https://github.com/PyCraftTool/PyCraft/blob/main/data/paper/RQ2/palm/dict-setdefault/syntax-error-tests.json),[0](https://github.com/PyCraftTool/PyCraft/blob/main/data/paper/RQ2/palm/dict-setdefault/uninitialised-vars-tests.json),[26](https://github.com/PyCraftTool/PyCraft/blob/main/data/paper/RQ2/palm/dict-setdefault/invalid-tests.json)
[108](https://github.com/PyCraftTool/PyCraft/blob/main/data/paper/RQ2/palm/dict-setdefault/good-tests.json),[9](https://github.com/PyCraftTool/PyCraft/blob/main/data/paper/RQ2/palm/dict-setdefault/invalid-format-tests.json),[2](https://github.com/PyCraftTool/PyCraft/blob/main/data/paper/RQ2/palm/dict-setdefault/syntax-error-tests.json),[0](https://github.com/PyCraftTool/PyCraft/blob/main/data/paper/RQ2/palm/dict-setdefault/uninitialised-vars-tests.json),[48](https://github.com/PyCraftTool/PyCraft/blob/main/data/paper/RQ2/palm/dict-setdefault/invalid-tests.json)
[106](https://github.com/PyCraftTool/PyCraft/blob/main/data/paper/RQ2/palm/dict-setdefault/good-tests.json),[3](https://github.com/PyCraftTool/PyCraft/blob/main/data/paper/RQ2/palm/dict-setdefault/invalid-format-tests.json),[1](https://github.com/PyCraftTool/PyCraft/blob/main/data/paper/RQ2/palm/dict-setdefault/syntax-error-tests.json),[0](https://github.com/PyCraftTool/PyCraft/blob/main/data/paper/RQ2/palm/dict-setdefault/uninitialised-vars-tests.json),[127](https://github.com/PyCraftTool/PyCraft/blob/main/data/paper/RQ2/palm/dict-setdefault/invalid-tests.json)
[145](https://github.com/PyCraftTool/PyCraft/blob/main/data/paper/RQ2/palm/dict-setdefault/good-tests.json),[5](https://github.com/PyCraftTool/PyCraft/blob/main/data/paper/RQ2/palm/dict-setdefault/invalid-format-tests.json),[42](https://github.com/PyCraftTool/PyCraft/blob/main/data/paper/RQ2/palm/dict-setdefault/syntax-error-tests.json),[0](https://github.com/PyCraftTool/PyCraft/blob/main/data/paper/RQ2/palm/dict-setdefault/uninitialised-vars-tests.json),[72](https://github.com/PyCraftTool/PyCraft/blob/main/data/paper/RQ2/palm/dict-setdefault/invalid-tests.json)
[125](https://github.com/PyCraftTool/PyCraft/blob/main/data/paper/RQ2/palm/dict-setdefault/good-tests.json),[6](https://github.com/PyCraftTool/PyCraft/blob/main/data/paper/RQ2/palm/dict-setdefault/invalid-format-tests.json),[19](https://github.com/PyCraftTool/PyCraft/blob/main/data/paper/RQ2/palm/dict-setdefault/syntax-error-tests.json),[0](https://github.com/PyCraftTool/PyCraft/blob/main/data/paper/RQ2/palm/dict-setdefault/uninitialised-vars-tests.json),[59](https://github.com/PyCraftTool/PyCraft/blob/main/data/paper/RQ2/palm/dict-setdefault/invalid-tests.json)
[0](https://github.com/PyCraftTool/PyCraft/blob/main/data/paper/RQ2/palm/dict-setdefault/good-tests.json),[17](https://github.com/PyCraftTool/PyCraft/blob/main/data/paper/RQ2/palm/dict-setdefault/invalid-format-tests.json),[0](https://github.com/PyCraftTool/PyCraft/blob/main/data/paper/RQ2/palm/dict-setdefault/syntax-error-tests.json),[0](https://github.com/PyCraftTool/PyCraft/blob/main/data/paper/RQ2/palm/dict-setdefault/uninitialised-vars-tests.json),[9](https://github.com/PyCraftTool/PyCraft/blob/main/data/paper/RQ2/palm/dict-setdefault/invalid-tests.json)
